Iterations	q_{12}	q_{21}	q_{13}	q_{31}	q_{24}	q_{42}
179	0.574649	0.609603	1.723259	1.535195	0.404830	0.046446
182	0.598197	0.597102	1.739861	1.527506	0.407111	0.029641
184	0.618586	0.593898	1.751347	1.538422	0.421665	0.019035
186	0.608662	0.584044	1.762990	1.556503	0.412900	0.030221
188	0.622163	0.560378	1.769344	1.581483	0.422476	0.024008
191	0.624970	0.546125	1.771723	1.595268	0.409546	0.031300
192	0.623972	0.562769	1.756615	1.613340	0.387417	0.030021
193	0.627018	0.564211	1.767326	1.618212	0.369247	0.035994
195	0.608937	0.545536	1.764447	1.638306	0.389246	0.060894
197	0.621203	0.549694	1.785790	1.642807	0.379713	0.039304
201	0.617825	0.563798	1.805445	1.655530	0.401693	0.032720
202	0.599651	0.562450	1.818948	1.635956	0.383044	0.032543
203	0.615034	0.578268	1.835065	1.620371	0.372518	0.056397
204	0.602719	0.595228	1.831708	1.627123	0.380506	0.042681
209	0.625152	0.601153	1.856185	1.644081	0.391388	0.065330
213	0.632217	0.592892	1.879766	1.655969	0.396748	0.060483
216	0.615187	0.570695	1.899613	1.663723	0.394380	0.051944
218	0.632446	0.563743	1.897795	1.676700	0.392283	0.060648
219	0.622781	0.586781	1.885358	1.701214	0.382967	0.055388
220	0.605760	0.585199	1.891136	1.722408	0.400555	0.032065
222	0.609580	0.583475	1.914877	1.702802	0.386443	0.029208
227	0.586889	0.580038	1.931061	1.727307	0.400375	0.023916
229	0.589873	0.559070	1.939124	1.737406	0.406147	0.042676
230	0.568702	0.575453	1.952720	1.715495	0.405449	0.064712
233	0.550633	0.596166	1.948432	1.706715	0.381193	0.060055
235	0.549336	0.581685	1.961709	1.721941	0.390062	0.083922
237	0.556279	0.591889	1.953038	1.744035	0.401787	0.075519
238	0.547282	0.580392	1.966377	1.751028	0.384189	0.080259
239	0.524453	0.574535	1.977042	1.773446	0.359413	0.087423
242	0.513902	0.566448	2.001679	1.762287	0.374924	0.107061
244	0.494680	0.546872	1.983069	1.772142	0.362611	0.085088
246	0.482310	0.546008	1.995419	1.777017	0.353240	0.074521
247	0.505311	0.539001	2.011926	1.801198	0.333925	0.069480
248	0.522965	0.548393	2.014694	1.825831	0.319748	0.082960
250	0.506036	0.553326	2.014232	1.819218	0.335601	0.059625
251	0.483083	0.540932	2.023942	1.811319	0.314990	0.065936
254	0.504818	0.556882	2.044941	1.823180	0.312887	0.078961
255	0.486303	0.541696	2.051849	1.840695	0.302191	0.080610
256	0.463439	0.549736	2.026892	1.849699	0.293009	0.060226
257	0.453276	0.552802	2.013254	1.868644	0.304351	0.055910
258	0.438800	0.557878	2.014944	1.866010	0.294029	0.069108
260	0.444967	0.553683	2.038809	1.884737	0.313052	0.091442
261	0.445519	0.557824	2.049857	1.868538	0.316140	0.068322
262	0.421135	0.546710	2.062787	1.885167	0.336426	0.075082
263	0.413464	0.548435	2.076211	1.886158	0.320797	0.083497
264	0.415585	0.558113	2.086353	1.898786	0.317976	0.061850
265	0.400300	0.556034	2.094669	1.905526	0.299936	0.064404
270	0.402181	0.552391	2.109152	1.899711	0.316603	0.044144
272	0.393096	0.571109	2.106908	1.900468	0.322676	0.039166
277	0.381044	0.572875	2.099745	1.918441	0.318786	0.058320
279	0.382446	0.562524	2.104120	1.921862	0.314803	0.042197
281	0.361727	0.539032	2.128466	1.922891	0.300027	0.030264
288	0.349031	0.561586	2.147526	1.914435	0.304688	0.041485
289	0.358183	0.586281	2.160368	1.937636	0.304834	0.020865
290	0.350325	0.582516	2.172422	1.954066	0.323434	0.037401
292	0.374326	0.592896	2.193258	1.944710	0.321432	0.031009
293	0.389530	0.571163	2.176644	1.969500	0.303087	0.038858
294	0.381573	0.593234	2.176321	1.988363	0.315859	0.061620
